Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Egypt,22.01 ,18.14 , 25.88,,22.13 ,18.70 , 25.93,,22.00 ,18.90 , 25.41,,21.87 ,18.95 , 24.92,,21.77 ,19.05 , 24.77,,21.67 ,19.34 , 24.37,,21.41 ,19.15 , 24.01,,20.69 ,18.44 , 23.05,,20.59 ,18.49 , 22.79,,20.30 ,18.34 , 22.51,,20.20 ,18.31 , 22.48,,19.87 ,18.13 , 22.06,,19.71 ,18.00 , 21.86,,19.48 ,17.73 , 21.73,,19.31 ,17.45 , 21.60,,18.88 ,16.86 , 21.32,,18.49 ,16.34 , 21.05,,17.95 ,15.68 , 20.54,,17.12 ,14.74 , 19.77,,16.33 ,13.92 , 19.12,,15.87 ,13.27 , 18.75,,15.47 ,12.71 , 18.43,,15.14 ,12.27 , 18.39,
El Salvador,15.23 ,13.42 , 16.97,,14.36 ,12.72 , 16.17,,13.33 ,11.71 , 15.22,,12.48 ,10.89 , 14.32,,11.60 ,10.00 , 13.44,,10.82 ,9.26 , 12.62,,10.06 ,8.49 , 11.82,,9.18 ,7.78 , 10.89,,8.38 ,6.97 , 9.92,,7.63 ,6.34 , 9.02,,6.90 ,5.68 , 8.27,,6.25 ,5.13 , 7.51,,5.66 ,4.58 , 6.81,,5.22 ,4.16 , 6.27,,4.90 ,3.92 , 5.84,,4.63 ,3.71 , 5.53,,4.40 ,3.49 , 5.28,,4.20 ,3.35 , 5.08,,4.07 ,3.26 , 4.85,,3.93 ,3.15 , 4.77,,3.82 ,2.96 , 4.74,,3.72 ,2.68 , 4.73,,3.67 ,2.47 , 4.96,
Equatorial Guinea,15.59 ,11.92 , 19.91,,15.33 ,12.04 , 19.05,,14.95 ,11.98 , 18.58,,14.37 ,11.74 , 17.83,,14.09 ,11.46 , 17.58,,13.31 ,11.12 , 16.68,,13.19 ,10.82 , 16.46,,12.47 ,10.07 , 15.77,,12.22 ,9.67 , 15.42,,11.89 ,9.40 , 14.98,,11.21 ,8.82 , 14.46,,10.86 ,8.50 , 14.29,,10.24 ,7.74 , 13.70,,9.27 ,6.75 , 12.89,,8.48 ,5.96 , 11.90,,8.47 ,5.91 , 11.95,,7.98 ,5.27 , 11.42,,7.52 ,4.79 , 11.10,,7.59 ,4.74 , 11.42,,7.20 ,4.27 , 11.08,,7.66 ,4.48 , 11.93,,6.70 ,3.67 , 11.04,,6.57 ,3.47 , 11.23,
Eritrea,8.07 ,5.79 , 10.94,,7.35 ,5.27 , 9.97,,7.13 ,5.09 , 9.82,,6.67 ,4.72 , 9.11,,6.63 ,4.72 , 9.06,,6.29 ,4.36 , 8.63,,6.12 ,4.21 , 8.62,,5.53 ,3.70 , 8.15,,5.13 ,3.47 , 7.44,,4.86 ,3.22 , 6.94,,4.49 ,2.95 , 6.38,,4.08 ,2.59 , 6.13,,3.61 ,2.13 , 5.53,,3.28 ,1.94 , 5.07,,2.91 ,1.68 , 4.65,,2.54 ,1.42 , 4.32,,2.39 ,1.30 , 4.13,,2.17 ,1.19 , 3.78,,1.99 ,1.11 , 3.61,,1.96 ,1.09 , 3.63,,1.79 ,0.99 , 3.39,,1.77 ,0.95 , 3.35,,1.65 ,0.88 , 3.22,
Estonia,100.42 ,3.33 , 194.17,"Children estimates were not available at the time of publication.",81.74 ,69.46 , 93.38,"Children estimates were not available at the time of publication.",42.82 ,36.70 , 47.97,"Children estimates were not available at the time of publication.",28.10 ,24.29 , 31.35,"Children estimates were not available at the time of publication.",20.51 ,17.50 , 22.66,"Children estimates were not available at the time of publication.",15.81 ,13.47 , 17.59,"Children estimates were not available at the time of publication.",12.59 ,10.78 , 14.01,"Children estimates were not available at the time of publication.",10.25 ,8.73 , 11.44,"Children estimates were not available at the time of publication.",8.44 ,7.15 , 9.51,"Children estimates were not available at the time of publication.",7.10 ,5.92 , 7.99,"Children estimates were not available at the time of publication.",6.03 ,5.01 , 6.82,"Children estimates were not available at the time of publication.",5.19 ,4.24 , 5.91,"Children estimates were not available at the time of publication.",4.49 ,3.61 , 5.16,"Children estimates were not available at the time of publication.",3.92 ,3.12 , 4.54,"Children estimates were not available at the time of publication.",3.47 ,2.72 , 4.06,"Children estimates were not available at the time of publication.",3.10 ,2.38 , 3.68,"Children estimates were not available at the time of publication.",2.79 ,2.16 , 3.35,"Children estimates were not available at the time of publication.",2.51 ,1.89 , 3.05,"Children estimates were not available at the time of publication.",2.28 ,1.67 , 2.84,"Children estimates were not available at the time of publication.",2.09 ,1.50 , 2.70,"Children estimates were not available at the time of publication.",1.98 ,1.38 , 2.61,"Children estimates were not available at the time of publication.",1.83 ,1.22 , 2.53,"Children estimates were not available at the time of publication.",1.72 ,1.10 , 2.45,"Children estimates were not available at the time of publication."
Eswatini,13.42 ,12.31 , 14.68,,12.44 ,11.50 , 13.43,,11.66 ,10.79 , 12.46,,11.13 ,10.36 , 11.88,,10.84 ,10.10 , 11.49,,10.16 ,9.47 , 10.93,,9.53 ,8.75 , 10.16,,9.02 ,8.25 , 9.61,,8.74 ,7.98 , 9.49,,8.29 ,7.52 , 9.01,,7.48 ,6.75 , 8.31,,7.33 ,6.63 , 7.98,,7.18 ,6.46 , 7.79,,6.98 ,6.32 , 7.59,,6.48 ,5.91 , 6.95,,5.22 ,4.76 , 5.61,,3.98 ,3.64 , 4.24,,3.44 ,3.10 , 3.67,,3.34 ,3.04 , 3.59,,2.98 ,2.72 , 3.24,,2.26 ,2.02 , 2.47,,2.19 ,1.98 , 2.43,,1.79 ,1.55 , 2.03,
Ethiopia,7.58 ,3.70 , 16.92,,7.06 ,3.45 , 15.78,,6.54 ,3.19 , 14.60,,6.28 ,3.07 , 14.03,,5.89 ,2.88 , 13.14,,5.65 ,2.76 , 12.62,,5.35 ,2.61 , 11.94,,5.11 ,2.50 , 11.40,,4.82 ,2.35 , 10.76,,4.44 ,2.17 , 9.92,,4.07 ,1.99 , 9.09,,3.64 ,1.78 , 8.12,,3.24 ,1.58 , 7.24,,2.89 ,1.41 , 6.45,,2.70 ,1.32 , 6.02,,2.48 ,1.21 , 5.54,,2.38 ,1.16 , 5.31,,2.14 ,1.05 , 4.78,,1.93 ,0.94 , 4.30,,1.78 ,0.87 , 3.96,,1.51 ,0.74 , 3.38,,1.51 ,0.74 , 3.36,,1.35 ,0.66 , 3.02,
Fiji,19.85 ,11.76 , 77.21,,19.23 ,12.82 , 62.82,,19.66 ,10.67 , 51.69,,19.51 ,8.29 , 43.90,,19.15 ,6.81 , 38.72,,18.15 ,5.56 , 36.30,,17.48 ,4.85 , 33.66,,17.09 ,3.99 , 33.33,,16.16 ,3.79 , 32.07,,16.14 ,4.26 , 31.17,,16.63 ,11.09 , 32.87,,16.14 ,10.88 , 32.46,,15.31 ,10.16 , 32.19,,14.90 ,9.75 , 32.59,,14.63 ,9.13 , 32.63,,15.57 ,9.34 , 35.15,,15.94 ,9.11 , 35.94,,15.65 ,8.58 , 35.19,,15.47 ,7.81 , 35.28,,15.41 ,7.46 , 34.90,,15.15 ,7.11 , 34.29,,14.93 ,7.02 , 33.35,,14.81 ,6.72 , 31.83,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,8.21 ,6.56 , 9.92,,7.93 ,6.30 , 9.62,,7.66 ,6.06 , 9.34,,7.23 ,5.71 , 8.85,,6.78 ,5.33 , 8.34,,6.32 ,4.96 , 7.78,,5.89 ,4.61 , 7.27,,5.54 ,4.33 , 6.84,,5.22 ,4.09 , 6.46,,4.95 ,3.88 , 6.17,,4.79 ,3.74 , 5.91,,4.64 ,3.63 , 5.77,,4.46 ,3.49 , 5.54,,4.15 ,3.25 , 5.17,,3.88 ,3.03 , 4.80,,3.63 ,2.85 , 4.52,,3.47 ,2.73 , 4.30,,3.36 ,2.63 , 4.15,,3.23 ,2.52 , 4.00,,3.14 ,2.46 , 3.87,,3.06 ,2.39 , 3.79,,2.99 ,2.33 , 3.71,,2.92 ,2.27 , 3.62,
Gabon,12.28 ,9.59 , 15.85,,11.09 ,8.89 , 14.32,,10.31 ,8.34 , 13.25,,9.44 ,7.43 , 12.05,,8.55 ,6.78 , 10.88,,8.04 ,6.33 , 10.36,,7.62 ,5.89 , 9.90,,7.20 ,5.50 , 9.30,,6.99 ,5.28 , 9.16,,6.64 ,4.90 , 8.96,,5.97 ,4.30 , 8.13,,5.61 ,3.98 , 7.81,,5.14 ,3.62 , 7.46,,4.57 ,3.13 , 6.81,,4.31 ,2.93 , 6.53,,4.02 ,2.59 , 6.21,,3.68 ,2.26 , 6.30,,3.61 ,2.13 , 6.33,,3.42 ,1.90 , 6.74,,3.26 ,1.68 , 6.54,,4.13 ,2.06 , 8.42,,4.31 ,1.99 , 8.71,,3.99 ,1.73 , 8.52,
Gambia,19.33 ,14.58 , 25.36,,17.46 ,13.23 , 22.69,,15.98 ,12.04 , 20.59,,15.08 ,11.64 , 19.39,,13.39 ,10.21 , 17.39,,12.55 ,9.50 , 16.25,,12.26 ,9.35 , 15.56,,11.63 ,8.79 , 14.67,,11.10 ,8.55 , 14.30,,10.81 ,8.24 , 14.13,,9.94 ,7.26 , 13.15,,9.14 ,6.56 , 12.14,,8.98 ,6.29 , 11.90,,8.60 ,6.01 , 11.79,,8.27 ,5.84 , 11.53,,7.73 ,5.29 , 10.74,,7.72 ,5.31 , 10.70,,7.41 ,4.93 , 10.44,,6.88 ,4.51 , 9.91,,6.36 ,4.05 , 9.21,,6.22 ,3.80 , 9.11,,6.22 ,3.46 , 9.43,,6.19 ,3.38 , 9.55,
Georgia,42.11 ,31.05 , 56.84,,40.28 ,30.21 , 52.78,,37.82 ,29.70 , 46.64,,35.46 ,29.07 , 41.69,,32.69 ,27.92 , 37.91,,29.61 ,25.69 , 34.11,,26.48 ,23.56 , 31.62,,23.62 ,21.26 , 27.58,,21.00 ,19.12 , 23.91,,18.66 ,17.22 , 20.41,,16.28 ,15.17 , 17.58,,14.51 ,13.53 , 15.54,,12.96 ,12.09 , 13.87,,11.66 ,10.81 , 12.54,,10.55 ,9.72 , 11.38,,9.65 ,8.81 , 10.41,,8.89 ,8.09 , 9.63,,8.23 ,7.45 , 8.96,,7.75 ,6.99 , 8.43,,7.27 ,6.53 , 7.91,,6.87 ,6.14 , 7.49,,6.49 ,5.81 , 7.08,,6.23 ,5.55 , 6.80,
Germany,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,4.09 ,2.97 , 4.98,,3.64 ,2.64 , 4.45,,3.66 ,2.63 , 4.49,,3.50 ,2.50 , 4.29,,3.40 ,2.40 , 4.18,,3.15 ,2.21 , 3.88,,2.97 ,2.08 , 3.67,,2.69 ,1.85 , 3.33,,2.51 ,1.73 , 3.10,,2.48 ,1.70 , 3.06,,2.07 ,1.44 , 2.55,,1.98 ,1.38 , 2.44,,... ,... , ...,
Ghana,10.41 ,8.79 , 12.03,,9.90 ,8.43 , 11.56,,9.42 ,7.87 , 11.02,,9.08 ,7.60 , 10.63,,8.78 ,7.31 , 10.37,,8.59 ,7.13 , 10.30,,8.39 ,6.89 , 9.97,,7.90 ,6.35 , 9.42,,7.49 ,5.99 , 8.91,,7.66 ,6.20 , 9.21,,7.48 ,6.14 , 9.10,,7.06 ,5.68 , 8.53,,6.95 ,5.63 , 8.69,,6.97 ,5.67 , 8.71,,6.98 ,5.57 , 8.78,,6.99 ,5.64 , 8.89,,6.80 ,5.48 , 8.69,,6.76 ,5.42 , 8.74,,6.76 ,5.26 , 9.01,,6.66 ,5.03 , 8.94,,6.15 ,4.41 , 8.58,,5.15 ,3.47 , 7.73,,4.67 ,2.97 , 7.28,
Greece,6.65 ,6.02 , 7.50,"Children estimates were not available at the time of publication.",7.29 ,6.60 , 8.21,"Children estimates were not available at the time of publication.",7.81 ,7.19 , 8.63,"Children estimates were not available at the time of publication.",8.20 ,7.77 , 8.77,"Children estimates were not available at the time of publication.",8.52 ,8.09 , 9.11,"Children estimates were not available at the time of publication.",8.81 ,8.27 , 9.53,"Children estimates were not available at the time of publication.",9.12 ,8.51 , 9.95,"Children estimates were not available at the time of publication.",9.49 ,8.95 , 10.21,"Children estimates were not available at the time of publication.",9.85 ,9.42 , 10.42,"Children estimates were not available at the time of publication.",9.99 ,9.61 , 10.46,"Children estimates were not available at the time of publication.",9.85 ,9.49 , 10.35,"Children estimates were not available at the time of publication.",9.39 ,8.97 , 9.93,"Children estimates were not available at the time of publication.",8.56 ,8.11 , 9.15,"Children estimates were not available at the time of publication.",7.41 ,7.05 , 7.87,"Children estimates were not available at the time of publication.",6.13 ,5.86 , 6.49,"Children estimates were not available at the time of publication.",4.90 ,4.67 , 5.21,"Children estimates were not available at the time of publication.",3.86 ,3.58 , 4.25,"Children estimates were not available at the time of publication.",3.10 ,2.79 , 3.51,"Children estimates were not available at the time of publication.",2.77 ,2.52 , 3.09,"Children estimates were not available at the time of publication.",2.83 ,2.60 , 3.12,"Children estimates were not available at the time of publication.",3.24 ,2.89 , 3.69,"Children estimates were not available at the time of publication.",3.94 ,3.26 , 4.86,"Children estimates were not available at the time of publication.",4.85 ,3.68 , 6.42,"Children estimates were not available at the time of publication."
Grenada,9.24 ,5.88 , 14.29,,10.92 ,6.72 , 16.81,,12.30 ,7.38 , 18.03,,14.73 ,8.53 , 20.16,,16.55 ,10.07 , 20.14,,17.11 ,11.18 , 20.39,,16.77 ,12.57 , 20.36,,16.30 ,13.59 , 19.57,,15.50 ,13.00 , 18.50,,14.35 ,12.04 , 17.13,,13.54 ,10.92 , 15.72,,11.38 ,9.35 , 13.82,,10.15 ,7.89 , 12.41,,9.47 ,7.37 , 11.23,,9.24 ,7.26 , 11.22,,7.57 ,5.99 , 9.46,,7.23 ,5.42 , 9.04,,7.23 ,5.49 , 9.25,,6.18 ,4.49 , 8.43,,6.32 ,4.67 , 8.52,,5.68 ,3.78 , 8.11,,4.85 ,2.70 , 7.55,,4.85 ,2.43 , 7.82,
Guatemala,10.42 ,8.17 , 13.81,,9.32 ,7.48 , 11.83,,8.69 ,7.10 , 10.89,,7.61 ,6.32 , 9.39,,6.63 ,5.57 , 8.18,,6.36 ,5.29 , 7.81,,5.33 ,4.37 , 6.38,,4.83 ,4.01 , 5.76,,4.45 ,3.63 , 5.40,,3.80 ,2.92 , 4.68,,3.38 ,2.43 , 4.33,,3.12 ,2.19 , 3.97,,2.97 ,2.17 , 3.84,,2.55 ,1.75 , 3.32,,2.79 ,1.92 , 3.64,,3.14 ,2.22 , 4.05,,3.58 ,2.66 , 4.62,,3.46 ,2.43 , 4.47,,3.42 ,2.47 , 4.44,,3.52 ,2.57 , 4.68,,3.45 ,2.53 , 4.58,,3.97 ,3.00 , 5.18,,3.87 ,2.97 , 5.06,
Guinea,13.56 ,11.42 , 16.07,,13.38 ,11.36 , 15.70,,12.32 ,10.44 , 14.45,,11.71 ,9.86 , 13.65,,11.42 ,9.64 , 13.32,,11.20 ,9.48 , 13.30,,10.63 ,8.97 , 12.60,,10.09 ,8.41 , 12.20,,9.85 ,8.16 , 12.12,,9.20 ,7.60 , 11.22,,8.60 ,7.15 , 10.52,,8.09 ,6.61 , 9.81,,7.65 ,6.03 , 9.33,,6.83 ,5.22 , 8.46,,7.90 ,6.36 , 9.69,,7.60 ,6.10 , 9.40,,7.35 ,5.92 , 9.20,,7.05 ,5.65 , 8.96,,6.94 ,5.54 , 8.96,,6.00 ,4.59 , 8.02,,5.40 ,4.01 , 7.48,,5.09 ,3.65 , 7.37,,4.59 ,3.11 , 6.96,
Guinea-Bissau,20.99 ,17.99 , 24.29,,17.53 ,15.00 , 20.22,,14.18 ,12.18 , 16.60,,12.20 ,10.74 , 14.47,,10.84 ,9.31 , 12.93,,9.83 ,8.52 , 11.75,,9.33 ,7.99 , 11.25,,9.12 ,7.80 , 10.96,,8.68 ,7.36 , 10.49,,7.96 ,6.77 , 9.65,,7.45 ,6.25 , 9.10,,7.08 ,5.86 , 8.72,,6.31 ,5.15 , 7.91,,5.69 ,4.59 , 7.25,,4.86 ,3.79 , 6.35,,4.95 ,3.76 , 6.48,,4.83 ,3.73 , 6.47,,4.61 ,3.51 , 6.19,,4.60 ,3.54 , 6.17,,4.09 ,3.04 , 5.56,,3.96 ,2.84 , 5.54,,3.84 ,2.81 , 5.23,,3.54 ,2.52 , 4.91,
Guyana,22.05 ,16.91 , 30.97,,20.60 ,17.01 , 27.43,,19.85 ,16.75 , 25.24,,18.87 ,16.06 , 23.91,,16.77 ,14.19 , 20.66,,14.45 ,11.92 , 17.79,,12.72 ,10.47 , 15.31,,11.17 ,9.10 , 13.45,,9.82 ,8.01 , 11.99,,8.43 ,6.68 , 10.36,,7.59 ,5.82 , 9.53,,6.64 ,5.03 , 8.41,,6.03 ,4.44 , 7.67,,5.54 ,3.95 , 7.21,,5.28 ,3.82 , 6.80,,5.24 ,3.88 , 6.77,,5.14 ,3.86 , 6.72,,5.26 ,3.99 , 6.80,,5.02 ,3.89 , 6.57,,5.87 ,4.59 , 7.77,,4.86 ,3.68 , 6.28,,5.18 ,3.99 , 6.66,,5.12 ,3.98 , 6.62,
Haiti,9.32 ,8.04 , 10.96,,8.98 ,7.86 , 10.63,,8.87 ,7.81 , 10.54,,8.47 ,7.47 , 9.95,,8.42 ,7.40 , 9.92,,8.21 ,7.22 , 9.69,,7.83 ,6.72 , 9.26,,7.38 ,6.30 , 8.81,,7.23 ,6.17 , 8.83,,7.10 ,6.10 , 8.73,,7.41 ,6.41 , 9.09,,7.15 ,6.18 , 8.74,,6.97 ,6.00 , 8.55,,6.97 ,5.95 , 8.56,,7.00 ,6.00 , 8.75,,7.02 ,5.94 , 8.78,,7.06 ,5.87 , 8.89,,6.74 ,5.49 , 8.55,,6.20 ,4.92 , 7.90,,5.82 ,4.53 , 7.53,,5.21 ,4.08 , 6.79,,4.73 ,3.58 , 6.18,,4.67 ,3.49 , 6.35,
Honduras,9.72 ,8.61 , 11.44,,8.15 ,7.11 , 9.79,,7.11 ,6.13 , 8.49,,6.03 ,5.11 , 7.30,,4.92 ,3.93 , 5.98,,4.28 ,3.29 , 5.28,,3.59 ,2.64 , 4.71,,2.92 ,2.04 , 4.02,,2.68 ,1.85 , 3.83,,2.24 ,1.45 , 3.37,,2.33 ,1.43 , 3.58,,2.30 ,1.25 , 3.43,,2.22 ,1.24 , 3.40,,2.12 ,1.16 , 3.46,,2.09 ,1.19 , 3.45,,2.24 ,1.22 , 3.55,,2.57 ,1.62 , 3.78,,2.42 ,1.56 , 3.66,,2.56 ,1.80 , 3.76,,2.66 ,1.91 , 3.76,,2.74 ,1.99 , 3.81,,2.97 ,2.29 , 4.05,,2.84 ,2.22 , 3.89,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Iceland,9.89 ,8.79 , 10.99,"Children estimates were not available at the time of publication.",10.00 ,8.00 , 11.00,"Children estimates were not available at the time of publication.",9.17 ,7.34 , 10.09,"Children estimates were not available at the time of publication.",8.40 ,6.72 , 9.24,"Children estimates were not available at the time of publication.",7.75 ,6.20 , 9.30,"Children estimates were not available at the time of publication.",7.75 ,6.34 , 8.45,"Children estimates were not available at the time of publication.",7.01 ,5.73 , 8.28,"Children estimates were not available at the time of publication.",7.02 ,5.26 , 7.60,"Children estimates were not available at the time of publication.",6.67 ,5.56 , 7.78,"Children estimates were not available at the time of publication.",6.42 ,5.35 , 7.49,"Children estimates were not available at the time of publication.",6.12 ,5.10 , 7.14,"Children estimates were not available at the time of publication.",5.85 ,4.88 , 7.32,"Children estimates were not available at the time of publication.",6.02 ,4.63 , 6.94,"Children estimates were not available at the time of publication.",5.70 ,4.39 , 6.58,"Children estimates were not available at the time of publication.",5.42 ,4.17 , 6.25,"Children estimates were not available at the time of publication.",5.12 ,3.94 , 6.30,"Children estimates were not available at the time of publication.",4.83 ,3.72 , 5.95,"Children estimates were not available at the time of publication.",4.83 ,3.45 , 5.52,"Children estimates were not available at the time of publication.",4.53 ,3.24 , 5.50,"Children estimates were not available at the time of publication.",4.59 ,3.06 , 5.50,"Children estimates were not available at the time of publication.",4.41 ,2.94 , 5.59,"Children estimates were not available at the time of publication.",4.52 ,2.82 , 5.37,"Children estimates were not available at the time of publication.",4.35 ,2.72 , 5.16,"Children estimates were not available at the time of publication."
Indonesia,34.33 ,31.16 , 37.38,,35.84 ,32.30 , 39.45,,31.96 ,28.59 , 35.40,,26.27 ,23.68 , 28.88,,22.64 ,20.47 , 24.85,,20.17 ,18.24 , 22.12,,17.77 ,16.00 , 19.41,,15.44 ,13.88 , 16.84,,13.74 ,12.38 , 14.98,,12.56 ,11.36 , 13.71,,11.48 ,10.37 , 12.54,,10.51 ,9.45 , 11.47,,9.59 ,8.64 , 10.45,,8.65 ,7.76 , 9.44,,7.81 ,7.00 , 8.52,,7.07 ,6.35 , 7.73,,6.49 ,5.84 , 7.09,,6.05 ,5.43 , 6.61,,5.64 ,5.06 , 6.18,,5.25 ,4.70 , 5.74,,4.96 ,4.44 , 5.43,,4.74 ,4.24 , 5.16,,4.49 ,4.01 , 4.90,
Iran (Islamic Republic of),28.34 ,16.82 , 50.25,,27.84 ,17.05 , 41.66,,27.22 ,17.44 , 37.58,,23.53 ,16.43 , 32.75,,20.48 ,14.18 , 27.25,,16.92 ,10.87 , 22.76,,14.19 ,8.99 , 19.93,,11.83 ,7.36 , 17.21,,9.35 ,5.87 , 14.36,,8.19 ,5.19 , 12.75,,6.81 ,4.45 , 10.47,,5.79 ,3.83 , 9.37,,5.14 ,3.47 , 8.53,,4.79 ,3.33 , 8.05,,4.73 ,3.31 , 7.87,,4.76 ,3.34 , 7.83,,4.77 ,3.34 , 7.89,,4.78 ,3.28 , 8.06,,4.80 ,3.18 , 8.29,,4.87 ,3.15 , 8.55,,5.04 ,3.29 , 8.99,,5.28 ,3.52 , 9.46,,6.37 ,4.15 , 12.60,
Iraq,22.65 ,16.16 , 30.96,,12.89 ,9.44 , 17.08,,2.55 ,1.89 , 3.29,,2.66 ,2.00 , 3.41,,3.03 ,2.27 , 4.04,,3.67 ,2.65 , 4.78,,4.59 ,3.42 , 6.13,,5.43 ,4.02 , 7.20,,6.09 ,4.62 , 8.31,,7.29 ,5.65 , 10.11,,8.54 ,6.58 , 12.01,,9.65 ,7.60 , 13.92,,10.76 ,8.29 , 15.86,,11.96 ,9.15 , 18.08,,13.29 ,9.95 , 20.45,,14.22 ,10.62 , 22.48,,15.09 ,11.07 , 24.32,,15.58 ,11.21 , 25.74,,15.95 ,11.20 , 27.16,,16.18 ,11.10 , 28.39,,16.29 ,11.07 , 30.52,,16.44 ,10.97 , 31.64,,16.31 ,10.56 , 32.77,
Ireland,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Israel,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
